,ACC(一類),Precesion(一類),Recall(一類),F1(一類),ACC,Precesion,Recall,F1,meanACC
r=2 w1= 2 w2=50,67.742,75.54,86.777,80.769,52.581,58.633,67.355,62.692,85.605
r=2 w1= 5 w2= 1,71.228,78.378,88.646,83.197,50.526,55.598,62.882,59.016,84.912
r=2 w1= 5 w2= 2,61.433,66.914,88.235,76.11,48.464,52.788,69.608,60.042,85.879
r=2 w1= 5 w2= 5,58.73,62.712,90.244,74.0,42.222,45.085,64.878,53.2,85.437
r=2 w1= 5 w2=10,71.787,79.514,88.077,83.577,48.903,54.167,60.0,56.934,84.639
r=2 w1= 5 w2=20,48.78,55.046,81.081,65.574,32.114,36.239,53.378,43.169,85.417
r=2 w1= 5 w2=50,75.875,81.25,91.981,86.283,51.751,55.417,62.736,58.85,84.484
r=2 w1=10 w2= 1,58.596,66.008,83.92,73.894,39.649,44.664,56.784,50.0,85.132
r=2 w1=10 w2= 2,74.018,83.051,87.189,85.069,52.87,59.322,62.278,60.764,84.856
r=2 w1=10 w2= 5,67.416,69.767,95.238,80.537,44.569,46.124,62.963,53.244,84.644
r=2 w1=10 w2=10,65.827,71.484,89.268,79.393,48.561,52.734,65.854,58.568,85.342
r=2 w1=10 w2=20,75.251,80.935,91.463,85.878,54.181,58.273,65.854,61.832,84.866
r=2 w1=10 w2=50,70.721,86.501,79.494,82.85,52.027,63.636,58.481,60.95,85.163
r=2 w1=20 w2= 1,56.25,64.057,82.192,72.0,40.312,45.907,58.904,51.6,85.508
r=2 w1=20 w2= 2,40.0,41.593,91.262,57.143,29.362,30.531,66.99,41.945,86.17
r=2 w1=20 w2= 5,65.942,71.373,89.655,79.476,44.565,48.235,60.591,53.712,84.828
r=2 w1=20 w2=10,68.75,76.389,87.302,81.481,48.125,53.472,61.111,57.037,84.922
r=2 w1=20 w2=20,70.783,91.256,75.933,82.892,44.174,56.951,47.388,51.731,84.174
r=2 w1=20 w2=50,62.363,74.803,78.947,76.819,43.326,51.969,54.848,53.369,85.12
r=2 w1=50 w2= 1,48.252,53.077,84.146,65.094,28.322,31.154,49.39,38.208,85.009
r=2 w1=50 w2= 2,50.973,53.469,91.608,67.526,40.078,42.041,72.028,53.093,86.138
r=2 w1=50 w2= 5,74.176,83.333,87.097,85.174,53.297,59.877,62.581,61.199,84.89
r=2 w1=50 w2=10,63.415,80.495,74.928,77.612,43.659,55.418,51.585,53.433,85.03
r=2 w1=50 w2=20,69.576,84.545,79.714,82.059,45.885,55.758,52.571,54.118,84.539
r=2 w1=50 w2=50,69.945,80.0,84.768,82.315,46.721,53.438,56.623,54.984,84.597
